# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [ARF] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='py_ARF_results.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARF],current_acc_[ARF],mean_kappa_[ARF],current_kappa_[ARF]
23999,0.989580,1.000000,0.988923,1.000000
24199,0.989667,1.000000,0.989019,1.000000
24399,0.989752,1.000000,0.989111,1.000000
24599,0.989344,0.940000,0.988683,0.880000
24799,0.989431,1.000000,0.988785,1.000000
24999,0.989516,1.000000,0.988883,1.000000
25199,0.989600,1.000000,0.988978,1.000000
25399,0.989683,1.000000,0.989070,1.000000
25599,0.989764,1.000000,0.989159,1.000000
25799,0.989844,1.000000,0.989246,1.000000
25999,0.989186,0.905000,0.988552,0.751309
26199,0.989269,1.000000,0.988649,1.000000
26399,0.989351,1.000000,0.988743,1.000000
26599,0.989432,1.000000,0.988834,1.000000
26799,0.989511,1.000000,0.988923,1.000000
26999,0.989590,1.000000,0.989009,1.000000
27199,0.989667,1.000000,0.989092,1.000000
27399,0.989449,0.960000,0.988863,0.729730
27599,0.989489,0.995000,0.988914,0.000000
27799,0.989565,1.000000,0.989001,1.000000
27999,0.989640,1.000000,0.989085,1.000000
28199,0.989714,1.000000,0.989167,1.000000
28399,0.989787,1.000000,0.989247,1.000000
28599,0.989859,1.000000,0.989324,1.000000
28799,0.989930,1.000000,0.989400,1.000000
28999,0.989236,0.890000,0.988676,0.589552
29199,0.989310,1.000000,0.988760,1.000000
29399,0.989384,1.000000,0.988843,1.000000
29599,0.989456,1.000000,0.988923,1.000000
29799,0.989527,1.000000,0.989000,1.000000
29999,0.989597,1.000000,0.989076,1.000000
30199,0.989667,1.000000,0.989150,1.000000
30399,0.989338,0.940000,0.988809,0.864865
30599,0.989408,1.000000,0.988889,1.000000
30799,0.989477,1.000000,0.988966,1.000000
30999,0.989545,1.000000,0.989042,1.000000
31199,0.989613,1.000000,0.989115,1.000000
31399,0.989679,1.000000,0.989187,1.000000
31599,0.989745,1.000000,0.989256,1.000000
